X,Y,OBJECTID,STN_NAME,STN_NO,LOCATION,AREA,REGION,LOC
103.8461152,1.298701307,144,DHOBY GHAUT MRT STATION,NS24,RAFFLES,CENTRAL_BUSINESS_DISTRICT,CENTRAL,CBD
103.8390752,1.300260055,112,SOMERSET MRT STATION,NS23,ORCHARD,ORCHARD,CENTRAL,C5
103.83224150000001,1.303981012,113,ORCHARD MRT STATION,NS22,ORCHARD,ORCHARD,CENTRAL,C5
103.8379853,1.3123201,191,NEWTON MRT STATION,NS21,ORCHARD,ORCHARD,CENTRAL,C5
103.84382559999999,1.320440791,147,NOVENA MRT STATION,NS20,ORCHARD,ORCHARD,CENTRAL,C5
103.7495668,1.349034109,32,BUKIT BATOK MRT STATION,NS2,CHOA CHU KANG,CCK_BUKIT_BATOK_BUKIT_PANJANG,WEST,W1
103.84750179999999,1.332628987,174,TOA PAYOH MRT STATION,NS19,BISHAN,BISHAN_TOA_PAYOH,CENTRAL,C1
103.8467978,1.3404716840000002,182,BRADDELL MRT STATION,NS18,BISHAN,BISHAN_TOA_PAYOH,CENTRAL,C1
103.84814399999999,1.350838988,158,BISHAN MRT STATION,NS17,BISHAN,BISHAN_TOA_PAYOH,CENTRAL,C1
103.849933,1.3693473040000002,17,ANG MO KIO MRT STATION,NS16,ANG MO KIO,ANG_MO_KIO,NORTH_EAST,NE1
103.8495581,1.369933175,33,ANG MO KIO MRT STATION,NS16,ANG MO KIO,ANG_MO_KIO,NORTH_EAST,NE1
103.8449473,1.381756046,41,YIO CHU KANG MRT STATION,NS15,ANG MO KIO,ANG_MO_KIO,NORTH_EAST,NE1
103.83297990000001,1.41738337,3,KHATIB MRT STATION,NS14,KHATIB,WOODLANDS_YISHUN_SEMBAWANG,NORTH,N1
103.83500500000001,1.4294430809999998,13,YISHUN MRT STATION,NS13,KHATIB,WOODLANDS_YISHUN_SEMBAWANG,NORTH,N1
103.82004609999998,1.449050821,30,SEMBAWANG MRT STATION,NS11,SEMBAWANG,WOODLANDS_YISHUN_SEMBAWANG,NORTH,N1
103.800988,1.4405850009999999,12,ADMIRALTY MRT STATION,NS10,SEMBAWANG,WOODLANDS_YISHUN_SEMBAWANG,NORTH,N1
103.7422865,1.33315262,20,JURONG EAST MRT STATION,NS1,JURONG,JURONG,WEST,W2
103.8616865,1.319395706,178,BOON KENG MRT STATION,NE9,BOON KENG,BUGIS_KALLANG_ROCHOR,CENTRAL,C7
103.8541771,1.31235984,151,FARRER PARK MRT STATION,NE8,BOON KENG,BUGIS_KALLANG_ROCHOR,CENTRAL,C7
103.84964699999999,1.306800025,169,LITTLE INDIA MRT STATION,NE7,ORCHARD,BUGIS_KALLANG_ROCHOR,CENTRAL,C7
103.84548819999999,1.2997054590000001,164,DHOBY GHAUT MRT STATION,NE6,RAFFLES,CENTRAL_BUSINESS_DISTRICT,CENTRAL,CBD
103.8465552,1.288386024,157,CLARKE QUAY MRT STATION,NE5,RAFFLES,OUTRAM,CENTRAL,C6
103.84342679999999,1.284359578,131,CHINATOWN MRT STATION,NE4,OUTRAM,OUTRAM,CENTRAL,C6
103.8395747,1.279764543,156,OUTRAM PARK MRT STATION,NE3,OUTRAM,OUTRAM,CENTRAL,C6
103.9020726,1.4045467280000001,106,PUNGGOL MRT STATION,NE17,PUNGGOL,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.89548470000001,1.391694626,116,SENGKANG MRT STATION,NE16,SENGKANG,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.89312159999999,1.382877858,183,BUANGKOK MRT STATION,NE15,SENGKANG,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.8923805,1.371292292,177,HOUGANG MRT STATION,NE14,SERANGOON,HOUGANG_SERANGOON,NORTH_EAST,NE2
103.8850649,1.360179171,119,KOVAN MRT STATION,NE13,SERANGOON,HOUGANG_SERANGOON,NORTH_EAST,NE2
103.8735748,1.349707875,148,SERANGOON MRT STATION,NE12,SERANGOON,HOUGANG_SERANGOON,NORTH_EAST,NE2
103.8708183,1.339190046,146,WOODLEIGH MRT STATION,NE11,BOON KENG,BISHAN_TOA_PAYOH,CENTRAL,C1
103.8690557,1.331379525,176,POTONG PASIR MRT STATION,NE10,BOON KENG,BISHAN_TOA_PAYOH,CENTRAL,C1
103.8214431,1.26547264,101,HARBOURFRONT MRT STATION,NE1,HARBOUR FRONT,BUKIT_MERAH,CENTRAL,C2
103.882906,1.316432612,16,ALJUNIED MRT STATION,EW9,PAYA LEBAR,PAYA_LEBAR,EAST,E3
103.89306040000001,1.318112082,9,PAYA LEBAR MRT STATION,EW8,PAYA LEBAR,PAYA_LEBAR,EAST,E3
103.90325250000001,1.319778952,1,EUNOS MRT STATION,EW7,PAYA LEBAR,PAYA_LEBAR,EAST,E3
103.9129494,1.321038249,31,KEMBANGAN MRT STATION,EW6,PAYA LEBAR,PAYA_LEBAR,EAST,E3
103.9299845,1.323979969,37,BEDOK MRT STATION,EW5,BEDOK,BEDOK,EAST,E1
103.94634649999999,1.327187135,40,TANAH MERAH MRT STATION,EW4,BEDOK,BEDOK,EAST,E1
103.6368787,1.3404637659999998,22,TUAS LINK MRT STATION,EW33,TUAS,TUAS,WEST,W3
103.63961409999999,1.3299890890000001,27,TUAS WEST ROAD MRT STATION,EW32,TUAS,TUAS,WEST,W3
103.6490755,1.321026553,25,TUAS CRESCENT MRT STATION,EW31,TUAS,TUAS,WEST,W3
